24,24,0,0,31,32,33,34,35,36,37,36,37,31,32,33,34,35,36,37,32,33,34,35,36,37,35,36
31,31,32,31,32,31,31,31,32,33,34,35,36,37,35,31,32,33,34,35,36,37,33,34
31,31,32,33,34,35,36,37,36,37,31,32,33,34,35,36,37,36,31,32,33,34,35,36
34,35,36,37,31,31,31,31,31,32,33,34,35,36,37,31,32,33,34,35,36,37,35,36
32,33,34,35,31,31,32,33,34,35,36,37,32,33,34,35,36,31,32,33,34,35,36,37
31,32,33,34,35,36,37,37,31,31,32,33,34,35,36,37,37,37,37,37,33,34,35,36
32,31,32,33,34,35,36,37,36,31,32,33,34,35,36,37,31,31,32,33,34,35,36,37
31,31,31,32,33,34,35,36,37,35,36,37,32,33,31,32,33,34,35,36,37,33,34,35
32,33,34,35,36,31,31,32,33,31,32,33,34,35,36,37,35,36,37,36,37,34,35,36
33,34,35,36,37,37,31,32,33,34,35,36,31,32,33,34,35,36,37,37,33,34,35,36
31,31,32,31,32,33,34,35,31,32,33,34,35,36,37,31,31,32,33,34,35,36,37,36
31,32,33,34,35,36,37,32,33,34,35,36,37,33,31,32,33,34,35,36,37,36,37,34
31,32,33,34,35,36,31,32,33,34,31,32,33,34,35,36,37,34,31,32,33,34,35,36
34,35,36,31,32,33,34,35,36,37,32,33,34,31,32,33,34,35,36,37,33,34,35,36
32,33,34,35,36,37,36,31,31,32,33,34,35,36,37,37,33,34,35,36,37,33,34,35
36,37,34,35,31,31,32,33,34,35,36,37,33,34,31,31,32,33,34,35,36,37,33,34
32,31,32,33,31,32,33,34,35,36,37,35,36,31,32,33,34,35,36,37,37,32,33,34
31,31,31,31,32,31,32,33,34,31,32,31,32,33,34,35,36,37,35,36,37,36,37,35
31,32,33,34,35,36,37,36,37,31,32,33,34,35,36,37,34,35,36,37,31,31,32,33
31,31,31,31,32,33,34,35,36,37,31,32,31,32,31,32,33,34,35,36,37,32,33,34
31,32,33,34,31,32,33,34,35,36,37,32,33,34,35,36,37,31,32,31,32,33,34,35
31,32,33,34,35,36,37,34,35,36,37,32,33,31,31,32,33,34,35,36,37,36,37,32
31,32,33,34,35,36,37,37,37,37,37,31,32,33,34,35,36,37,31,32,33,34,35,36
32,33,34,35,36,37,31,32,33,34,35,31,32,33,34,31,32,33,34,35,36,37,37,35
