30,30,0,0,31,32,33,34,35,36,37,31,32,33,34,35,36,37,31,32,33,34,35,36,37,31,32,33,34,31,32,33,34,35
31,32,33,34,31,32,33,34,35,36,37,34,31,32,31,31,31,32,33,34,35,36,37,31,32,33,34,35,36,37
32,33,34,35,36,31,31,32,33,34,31,32,33,34,35,31,32,33,34,35,36,37,34,35,31,32,33,34,35,36
32,33,34,35,36,31,32,33,34,35,36,37,34,35,36,37,31,32,33,34,35,36,37,31,32,33,34,35,36,37
31,32,33,31,31,32,33,34,31,32,33,34,35,36,31,32,33,34,35,36,37,31,32,33,34,31,32,33,34,35
32,33,31,32,33,34,35,36,37,31,31,32,33,34,35,36,31,32,33,34,35,36,37,31,31,32,33,34,35,36
31,32,33,34,35,36,37,31,31,31,31,32,33,34,35,36,37,32,33,34,35,36,31,32,31,32,33,34,35,36
33,34,35,36,37,34,31,32,33,34,31,32,33,34,35,36,37,35,31,32,31,32,33,34,35,36,37,34,35,36
31,32,33,34,35,36,31,31,32,33,34,35,36,37,37,31,32,33,34,35,36,37,37,31,32,33,34,35,36,37
33,34,35,36,37,35,36,37,32,33,34,35,36,37,31,32,33,34,31,32,33,34,35,36,37,31,32,33,34,35
32,33,34,35,36,31,32,33,34,35,31,32,33,34,35,36,31,31,32,31,32,33,34,35,36,37,32,33,34,35
33,34,35,36,37,33,31,32,33,34,35,36,37,31,32,33,31,32,31,31,32,33,31,32,33,34,35,36,37,35
34,35,36,37,34,35,31,31,32,33,34,35,31,32,33,34,31,32,33,31,31,32,33,34,35,36,37,35,36,37
31,32,33,34,35,31,31,32,33,34,35,36,37,31,31,32,33,31,32,33,34,35,36,37,31,32,33,34,35,36
31,31,32,33,34,35,36,37,33,34,35,36,37,36,37,31,32,33,31,31,32,33,34,35,31,31,31,31,32,33
31,31,32,33,34,35,36,37,34,35,36,37,37,31,31,32,33,34,35,36,37,31,32,31,32,33,34,35,36,37
33,34,35,36,37,31,32,33,34,35,36,31,32,33,31,32,33,34,35,36,37,31,32,33,34,35,36,37,31,32
32,33,34,35,36,37,37,31,32,33,34,35,36,37,31,32,33,34,35,36,37,31,32,33,31,32,33,34,35,36
32,31,31,32,33,34,35,36,37,35,36,31,31,32,33,34,35,36,37,36,31,32,33,34,31,32,33,34,35,36
33,34,35,36,31,32,33,34,35,36,37,37,31,32,33,34,35,36,37,33,31,32,33,34,35,36,31,32,33,34
31,32,33,34,31,31,31,32,33,34,35,31,31,31,31,31,31,32,33,34,35,36,31,32,33,34,31,32,33,34
31,32,33,34,35,36,37,35,36,31,32,33,34,35,36,37,35,31,32,33,34,35,36,37,33,34,31,32,33,34
36,37,31,32,33,34,35,36,31,32,33,34,35,36,37,34,35,36,37,31,31,32,31,32,33,34,35,36,37,33
36,37,31,32,33,31,32,33,34,35,36,37,37,36,37,31,32,33,34,35,36,37,31,32,33,34,35,36,37,33
32,33,34,35,36,37,31,32,33,34,35,36,37,35,31,32,33,34,35,36,37,33,31,32,33,34,31,32,33,34
32,33,34,35,36,37,36,37,31,32,33,34,35,36,37,37,33,34,35,31,32,33,34,35,36,37,37,32,33,34
33,34,35,36,37,31,32,33,31,31,32,33,31,32,33,34,35,36,37,34,35,36,37,35,36,37,31,32,33,34
34,31,31,31,31,32,33,34,35,36,37,31,31,32,33,34,35,36,37,36,31,32,31,31,32,33,34,35,36,37
35,36,37,37,35,36,31,32,33,34,35,36,37,32,33,31,32,33,34,35,36,37,37,34,35,36,37,31,32,33
35,36,37,34,35,36,31,32,33,34,35,36,37,32,33,31,32,33,34,35,36,37,37,34,35,36,37,31,32,33
